Scraped At,Section,Subcategory,Product Name,Price,Rating,Image URL,Product URL,Page
2026-02-11 10:36:14,Accessories,low price,"Lawn Grass Seeds, Soft and Natural Excellent Rich Lawn Greens Grass Seeds,( pack of 500 seeds ) WITH USER MANUAL FOR HOME AND GARDENING USE LOW PRICE AT SNAPDEAL",Rs. 140,3.5,https://g.sdlcdn.com/imgs/k/c/8/Lawn-Grass-Seeds-Soft-and-SDL201016121-1-27873.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/lawn-grass-seeds-soft-and/622553108818#bcrumbSearch:low%20price,1
2026-02-11 10:36:14,Accessories,low price,LEMON GRASS HERB PLANT 50 SEEDS PACK WITH USER MANUAL FOR INDOOR OUTDOOR HOME KITCHEN GARDENING USE LOW PRICE ONLINE ON SNAPDEAL,Rs. 123,4.0,https://g.sdlcdn.com/imgs/k/l/h/LEMON-GRASS-HERB-PLANT-50-SDL908751945-1-44433.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/lemon-grass-herb-plant-50/635887639143#bcrumbSearch:low%20price,1
2026-02-11 10:36:14,Accessories,low price,ANTHURIUM RED COLOR ORNAMENTAL FLOWER AIRPURIFYING INDOOR OUTDOOR PLANT 20 SEEDS PACK WITH FREE COCOPEAT POTTING SOIL AND USER MANUAL COMBO PACK FOR HOME AND TERRACE GARDENING USE LOW PRICE ON SNAPDEAL,Rs. 104,3.6,https://g.sdlcdn.com/imgs/k/d/k/ANTHURIUM-RED-COLOR-ORNAMENTAL-FLOWER-SDL807595522-1-f8906.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/anthurium-red-color-ornamental-flower/655519833427#bcrumbSearch:low%20price,1
2026-02-11 10:36:14,Accessories,low price,AIR PURIFYING TREE CHINA PALM 20+ SEEDS PACK WITH FREE POTTING SOIL AND USER MANUAL FOR INDOOR AND OUTDOOR HOME AND TERRACE GARDENING USE LOW PRICE AT SNAPDEAL ONLINE SHOP,Rs. 118,4.0,https://g.sdlcdn.com/imgs/k/e/b/AIR-PURIFYING-TREE-CHINA-PALM-SDL900520661-1-c6ef2.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/air-purifying-tree-china-palm/621881820030#bcrumbSearch:low%20price,1
2026-02-11 10:36:14,Accessories,low price,ARECA PALM ORNAMENTAL TREE 20+ SEEDS PACK WITH FREE POTTING SOIL AND USER MANUAL FOR INDOOR AND OUTDOOR HOME AND TERRACE GARDENING USE LOW PRICE AT SNAPDEAL ONLINE SHOP,Rs. 146,3.9,https://g.sdlcdn.com/imgs/k/l/h/ARECA-PALM-ORNAMENTAL-TREE-20-SDL904122616-1-7cb47.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/areca-palm-ornamental-tree-20/631666376013#bcrumbSearch:low%20price,1
2026-02-11 10:36:14,Accessories,low price,Jewar mandi chain gold plated designer long size latest fashion low price for daily use,Rs. 239,3.5,https://g.sdlcdn.com/imgs/j/t/h/Jewar-mandi-chain-gold-plated-SDL968240345-1-43d2d.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/jewar-mandi-chain-gold-plated/627474315796#bcrumbSearch:low%20price,1
2026-02-11 10:36:14,Accessories,low price,Hilary Rhoda Multi Matte Pressed Powder Eye Shadow 100,Rs. 116,4.6,https://g.sdlcdn.com/imgs/l/e/b/Hilary-Rhoda-Multi-Matte-Pressed-SDL402207125-1-39756.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/hilary-rhoda-rust-matte-pressed/5764608172282191211#bcrumbSearch:low%20price,1
2026-02-11 10:36:14,Accessories,low price,Infispace Black Woollen Men's Woollen Gloves ( Pack of 1 ),Rs. 136,4.0,https://g.sdlcdn.com/imgs/l/e/b/Infispace-Black-Woollen-Men-s-SDL635513332-1-eeb94.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/infispace-black-woollen-mens-woollen/619757006999#bcrumbSearch:low%20price,1
2026-02-11 10:36:14,Accessories,low price,Spark World Copper 2000W Copper Immersion Rod,Rs. 316,4.5,,https://www.snapdeal.com/product/spark-world-copper-2000w-copper/671685801940#bcrumbSearch:low%20price,1
2026-02-11 10:36:15,Accessories,low price,Loopa - Black Leather Men's Formal Belt ( Pack of 1 ),Rs. 174,4.1,,https://www.snapdeal.com/product/loopa-black-leather-mens-formal/634014569693#bcrumbSearch:low%20price,1
